iteration: 370500, loss: 2.472051
----
(70, 120)
(65, 480)
(0, -2)
(82, 120)
(54, 240)
(64, 240)
(0, -1)
(60, 80)
(68, 40)
(0, -2)
(0, -1)
(56, 240)
(61, 480)
(0, -2)
(0, -1)
(63, 480)
(61, 480)
(0, -2)
(58, 240)
(78, 120)
(54, 120)
(60, 120)
(64, 120)
(0, -1)
(69, 0)
(80, 240)
(56, 120)
(0, -2)
(0, -1)
(71, 120)
(66, 120)
(59, 120)
(0, -2)
(0, -1)
(71, 120)
(67, 120)
(60, 240)
(79, 160)
(56, 140)
(64, 120)
(54, 240)
(63, 180)
(80, 0)
(63, 480)
(59, 130)
(68, 60)
(39, 20)
(85, 240)
(59, 120)
(80, 200)
(61, 240)
(37, 7)
(59, 120)
(61, 140)
(55, 0)
(58, 150)
(51, 40)
(44, 20)
(56, 579)
(69, 240)
(56, 180)
(85, 80)
(58, 240)
(73, 120)
(50, 240)
(59, 130)
(78, 80)
(61, 120)
(68, 120)
(58, 120)
(72, 120)
(71, 120)
(63, 180)
(75, 720)
(69, 0)
(61, 120)
(62, 180)
(58, 130)
(64, 120)
(59, 120)
(73, 480)
(63, 120)
(48, 0)
(63, 180)
(71, 240)
(61, 120)
(65, 360)
(70, 60)
(55, 140)
(68, 120)
(0, -1)
(73, 120)
(58, 120)
(0, -2)
(65, 60)
(75, 60)
(68, 120)
(0, -1)
(71, 120)
(66, 120)
(0, -2)
(80, 60)
(49, 155)
(0, -1)
(80, 120)
(67, 120)
(0, -2)
(67, 80)
(44, 240)
(0, -1)
(61, 120)
(58, 480)
(0, -2)
(37, 240)
(67, 240)
(53, 120)
(59, 120)
(80, 120)
(59, 120)
(75, 480)
(61, 480)
(65, 60)
(61, 480)
(72, 120)
(58, 480)
(65, 960)
(66, 240)
(75, 240)
(61, 240)
(63, 180)
(64, 120)
(54, 120)
(59, 120)
(67, 120)
(73, 120)
(65, 0)
(68, 120)
(79, 160)
(61, 432)
(73, 240)
(71, 120)
(52, 240)
(64, 240)
(74, 120)
(66, 120)
(61, 480)
(72, 480)
(65, 720)
(61, 120)
(68, 120)
(64, 240)
(50, 40)
(80, 23)
(65, 720)
(74, 40)
(69, 120)
(64, 240)
(56, 140)
(64, 120)
(61, 120)
(58, 150)
(61, 432)
(61, 140)
(61, 120)
(65, 480)
(59, 120)
(55, 140)
(66, 240)
(64, 480)
(60, 120)
(65, 180)
(59, 130)
(63, 120)
(78, 240)
(72, 120)
(59, 120)
(0, -1)
(60, 120)
(71, 1440)
(0, -2)
(0, -1)
(65, 480)
(64, 120)
(0, -2)
(0, -1)
(59, 240)
(66, 120)
(68, 120)
(68, 60)
(55, 140)
(68, 60)
(63, 480)
(75, 60)
(78, 240)
(64, 120)
(0, -2)
(0, -1)
(71, 120)
(66, 120)
(0, -2)
(70, 40)
(0, -1)
(69, 120)
(67, 120)
(0, -2)
(70, 180)
(0, -1)
(78, 1440)
(64, 120)
(0, -2)
(0, -1)
(71, 120)
(68, 240)
(59, 120)
(61, 480)
(70, 120)
(56, 180)
(56, 140)
(92, 80)
(73, 240)
(62, 120)
(54, 120)
(68, 60)
(43, 49)
(81, 80)
(58, 130)
(68, 60)
(70, 180)
(79, 120)
(63, 180)
(49, 240)
(46, 38)
(65, 80)
(75, 240)
(64, 120)
(63, 240)
(61, 300)
(61, 120)
(68, 60)
(43, 40)
(56, 140)
(71, 120)
(68, 120)
(59, 120)
(64, 240)
(66, 960)
(64, 240)
(61, 432)
(67, 120)
(75, 240)
(40, 20)
(79, 200)
(65, 480)
(68, 60)
(63, 180)
(63, 120)
(70, 180)
(0, -1)
(68, 360)
(62, 720)
(0, -2)
(53, 120)
(68, 120)
(0, -1)
(71, 120)
(65, 120)
(0, -2)
(53, 40)
(0, -1)
(65, 120)
(78, 1440)
(0, -2)
(56, 240)
(0, -1)
(72, 0)
(60, 0)
(44, 85)
(56, 120)
(0, -2)
(0, -1)
(75, 80)
(67, 120)
(0, -2)
(0, -1)
(51, 80)
(73, 40)
(0, -2)
(0, -1)
(55, 0)
(77, 0)
(61, 80)
(63, 80)
(0, -2)
(0, -1)
(58, 0)
(80, 0)
(51, 80)
(70, 80)
(0, -2)
(0, -1)
(56, 0)
(73, 0)
(69, 40)
(76, 289)
(0, -2)
(0, -1)
(55, 0)
(72, 0)
(60, 80)
(63, 80)
(0, -2)
(65, 80)
(0, -1)
(75, 80)
(80, 60)
(0, -2)
(0, -1)
(51, 0)
(72, 0)
(44, 80)
(75, 480)
(0, -2)
(0, -1)
(51, 0)
(76, 0)
(44, 49)
(84, 289)
(0, -2)
(64, 960)
(0, -1)
(75, 80)
(51, 120)
(0, -2)
(0, -1)
(56, 40)
(65, 40)
(0, -2)
(0, -1)
(60, 0)
(65, 40)
(54, 0)
(80, 40)
(0, -2)
(0, -1)
(63, 40)
(72, 40)
(0, -2)
(0, -1)
(44, 45)
(77, 0)
(64, 0)
(56, 0)
(68, 0)
(51, 0)
(70, 0)
(56, 0)
(75, 0)
(53, 0)
(52, 80)
(63, 80)
(53, 0)
(68, 0)
(53, 0)
(72, 0)
(60, 0)
(63, 0)
(56, 80)
(68, 80)
(80, 80)
(75, 240)
(80, 80)
(56, 180)
(0, -2)
(0, -1)
(53, 80)
(71, 120)
(0, -2)
(0, -1)
(44, 0)
(51, 0)
(68, 0)
(56, 0)
(72, 0)
(60, 0)
(63, 0)
(56, 80)
(68, 80)
(77, 80)
(47, 0)
(76, 37)
(68, 40)
(0, -2)
(0, -1)
(39, 0)
(63, 0)
(56, 0)
(71, 0)
(72, 80)
(65, 0)
(44, 0)
(51, 0)
(72, 0)
(56, 0)
(48, 0)
(58, 0)
(80, 0)
(73, 289)
(63, 40)
(84, 289)
(0, -2)
(0, -1)
(66, 1200)
(87, 80)
(56, 579)
(44, 45)
(0, -2)
(0, -1)
(55, 0)
(68, 0)
(51, 0)
(72, 0)
(48, 0)
(73, 120)
(75, 80)
(0, -2)
(0, -1)
(51, 80)
(68, 80)
(0, -2)
(0, -1)
(73, 240)
(37, 0)
(0, -2)
(72, 40)
(0, -1)
(75, 80)
(70, 80)
(50, 240)
(0, -2)
(0, -1)
(50, 40)
(74, 480)
(0, -2)
(82, 80)
(0, -1)
(65, 120)
(59, 120)
(0, -2)
(0, -1)
(70, 0)
(60, 0)
(72, 0)
(65, 0)
(70, 0)
(74, 40)
(72, 223)
(70, 80)
(68, 240)
(70, 120)
(73, 120)
(60, 120)
(61, 432)
(70, 120)
(44, 240)
(60, 240)
(66, 120)
(64, 240)
(61, 140)
(65, 60)
(60, 120)
(65, 60)
(59, 120)
(54, 2880)
(54, 240)
(63, 180)
(63, 60)
(63, 480)
(80, 120)
(59, 120)
(59, 240)
(59, 130)
(61, 432)
(68, 60)
(61, 432)
(66, 120)
(0, -1)
(59, 240)
(64, 180)
(0, -2)
(0, -1)
(63, 480)
(68, 240)
(45, 34)
(0, -2)
(0, -1)
(56, 40)
(60, 120)
(0, -2)
(0, -1)
(69, 180)
(44, 189)
(62, 120)
(0, -2)
(0, -1)
(73, 120)
(63, 240)
(56, 240)
(0, -2)
(0, -1)
(49, 240)
(72, 0)
(54, 240)
(61, 120)
(0, -2)
(64, 240)
(44, 240)
(84, 289)
(48, 49)
(48, 40)
(0, -1)
(61, 720)
(64, 120)
(0, -2)
(56, 120)
(65, 480)
(0, -1)
(65, 720)
(44, 34)
(0, -2)
(54, 68)
(56, 40)
(0, -1)
(46, 80)
(44, 20)
(58, 240)
(0, -2)
(0, -1)
(49, 240)
(53, 240)
(61, 240)
(0, -2)
(0, -1)
(70, 480)
(53, 240)
(0, -2)
(0, -1)
(60, 480)
(44, 198)
(0, -2)
(0, -1)
(60, 480)
(44, 198)
(0, -2)
(0, -1)
(65, 120)
(44, 240)
(0, -2)
(0, -1)
(49, 120)
(44, 120)
(0, -2)
(67, 240)
(0, -1)
(66, 120)
(71, 120)
(0, -2)
(75, 40)
(67, 40)
(50, 240)
(49, 64)
(0, -1)
(63, 240)
(71, 120)
(0, -2)
(0, -1)
(71, 120)
(66, 120)
(61, 120)
(0, -2)
(0, -1)
(71, 120)
(66, 120)
(40, 1440)
(0, -2)
(0, -1)
(44, 0)
(75, 0)
(53, 1440)
(73, 120)
(0, -2)
(0, -1)
(80, 80)
(73, 40)
(0, -2)
(0, -1)
(52, 80)
(80, 40)
(0, -2)
(0, -1)
(70, 78)
(73, 360)
(0, -2)
(0, -1)
(58, 0)
(80, 0)
(61, 0)
(56, 30)
(84, 80)
(75, 157)
(0, -2)
(0, -1)
(72, 0)
(50, 40)
(68, 0)
(80, 400)
(71, 0)
(79, 96)
(48, 0)
(63, 130)
(51, 49)
(0, -2)
(0, -1)
(39, 0)
(51, 0)
(68, 0)
(56, 80)
(71, 240)
(0, -2)
(51, 80)
(71, 40)
(0, -1)
(71, 120)
(63, 40)
(0, -2)
(0, -1)
(80, 80)
(37, 240)
(0, -2)
(54, 68)
(56, 180)
(0, -1)
(60, 480)
(68, 0)
(72, 0)
(75, 0)
(68, 120)
(0, -2)
(0, -1)
(71, 120)
(66, 120)
(0, -2)
(0, -1)
(71, 120)
(64, 120)
(0, -2)
(57, 0)
(43, 40)
(67, 40)
(84, 40)
(63, 120)
(80, 120)
(64, 120)
(0, -2)
(0, -1)
(71, 120)
(67, 120)
(0, -2)
(0, -1)
(80, 80)
(75, 80)
(0, -2)
(0, -1)
(71, 120)
(77, 80)
(0, -2)
(0, -1)
(71, 120)
(66, 120)
(63, 120)
(0, -2)
(0, -1)
(48, 80)
(61, 120)
(0, -2)
(0, -1)
(44, 0)
(60, 0)
(51, 40)
(60, 240)
(0, -2)
(0, -1)
(39, 0)
(60, 0)
(68, 40)
(68, 80)
(0, -2)
(0, -1)
(65, 80)
(72, 80)
(0, -2)
(67, 80)
(59, 40)
(0, -1)
(60, 40)
(69, 480)
(0, -2)
(0, -1)
(51, 40)
(68, 40)
(0, -2)
(0, -1)
(63, 0)
(65, 0)
(72, 0)
(84, 289)
(75, 80)
(0, -2)
(0, -1)
(39, 0)
(51, 0)
(75, 0)
(37, 13)
(60, 0)
(60, 0)
(63, 0)
(52, 80)
(70, 80)
