iteration: 302500, loss: 1.151045
----
(0, -2)
(0, -1)
(52, 80)
(65, 0)
(0, -2)
(0, -1)
(44, 0)
(80, 0)
(60, 80)
(63, 80)
(0, -2)
(0, -1)
(56, 80)
(68, 80)
(0, -2)
(0, -1)
(61, 80)
(63, 80)
(0, -2)
(0, -1)
(68, 40)
(70, 80)
(0, -2)
(0, -1)
(48, 40)
(71, 40)
(0, -2)
(0, -1)
(61, 0)
(63, 80)
(84, 200)
(0, -2)
(0, -1)
(68, 0)
(51, 40)
(44, 78)
(0, -2)
(0, -1)
(52, 0)
(73, 0)
(39, 80)
(77, 240)
(0, -2)
(0, -1)
(41, 0)
(59, 40)
(0, -2)
(0, -1)
(56, 0)
(68, 0)
(61, 80)
(80, 400)
(0, -2)
(0, -1)
(55, 80)
(65, 40)
(0, -2)
(0, -1)
(49, 80)
(72, 80)
(0, -2)
(0, -1)
(51, 80)
(73, 80)
(0, -2)
(0, -1)
(51, 0)
(75, 0)
(49, 40)
(68, 40)
(0, -2)
(0, -1)
(57, 40)
(73, 80)
(0, -2)
(0, -1)
(52, 0)
(63, 0)
(44, 40)
(75, 274)
(63, 180)
(37, 120)
(51, 1200)
(73, 80)
(64, 120)
(72, 80)
(61, 60)
(65, 120)
(61, 432)
(69, 120)
(66, 240)
(0, -1)
(75, 41)
(69, 120)
(0, -2)
(0, -1)
(68, 120)
(66, 240)
(68, 480)
(0, -2)
(65, 60)
(0, -1)
(75, 0)
(56, 40)
(64, 480)
(0, -2)
(79, 80)
(0, -1)
(68, 0)
(80, 0)
(71, 0)
(65, 480)
(0, -2)
(60, 240)
(48, 40)
(0, -1)
(73, 960)
(51, 40)
(0, -2)
(0, -1)
(59, 240)
(62, 175)
(65, 960)
(70, 288)
(0, -2)
(0, -1)
(51, 0)
(87, 0)
(63, 960)
(67, 80)
(0, -2)
(0, -1)
(58, 80)
(73, 40)
(0, -2)
(0, -1)
(56, 0)
(70, 0)
(51, 0)
(75, 0)
(72, 0)
(75, 0)
(51, 0)
(75, 0)
(44, 80)
(68, 80)
(0, -2)
(0, -1)
(51, 0)
(73, 0)
(63, 0)
(72, 0)
(48, 0)
(71, 0)
(61, 80)
(71, 120)
(0, -2)
(0, -1)
(53, 0)
(71, 0)
(44, 40)
(41, 16)
(0, -2)
(0, -1)
(50, 40)
(80, 0)
(44, 24)
(92, 80)
(0, -2)
(0, -1)
(56, 80)
(73, 80)
(0, -2)
(0, -1)
(52, 0)
(72, 0)
(44, 40)
(75, 80)
(0, -2)
(0, -1)
(70, 0)
(51, 0)
(72, 0)
(63, 40)
(69, 120)
(77, 240)
(0, -2)
(0, -1)
(54, 0)
(68, 0)
(58, 0)
(58, 0)
(61, 0)
(63, 0)
(61, 140)
(59, 0)
(68, 0)
(56, 0)
(71, 0)
(59, 0)
(55, 0)
(56, 0)
(68, 0)
(41, 0)
(78, 40)
(0, -2)
(0, -1)
(44, 80)
(75, 400)
(0, -2)
(0, -1)
(51, 0)
(68, 0)
(56, 0)
(44, 40)
(55, 16)
(0, -2)
(0, -1)
(44, 0)
(80, 0)
(60, 40)
(84, 80)
(0, -2)
(0, -1)
(53, 80)
(76, 80)
(0, -2)
(0, -1)
(67, 40)
(68, 240)
(0, -2)
(0, -1)
(72, 0)
(69, 120)
(60, 180)
(48, 20)
(0, -2)
(0, -1)
(51, 0)
(73, 0)
(32, 80)
(75, 200)
(0, -2)
(0, -1)
(44, 80)
(69, 80)
(0, -2)
(0, -1)
(60, 80)
(63, 80)
(0, -2)
(0, -1)
(43, 80)
(60, 120)
(0, -2)
(60, 120)
(0, -1)
(72, 0)
(60, 80)
(67, 80)
(0, -2)
(0, -1)
(39, 10)
(67, 120)
(0, -2)
(0, -1)
(65, 0)
(80, 40)
(72, 40)
(0, -2)
(0, -1)
(55, 80)
(84, 80)
(0, -2)
(0, -1)
(52, 0)
(72, 0)
(48, 0)
(73, 960)
(73, 445)
(71, 180)
(63, 60)
(73, 240)
