iteration: 301000, loss: 2.356773
----
(51, 0)
(80, 0)
(44, 34)
(44, 45)
(0, -2)
(72, 40)
(53, 40)
(73, 80)
(72, 80)
(0, -1)
(70, 60)
(41, 16)
(0, -2)
(0, -1)
(71, 120)
(68, 120)
(67, 960)
(0, -2)
(0, -1)
(71, 40)
(87, 40)
(0, -2)
(51, 120)
(0, -1)
(75, 0)
(51, 80)
(37, 28)
(0, -2)
(0, -1)
(55, 80)
(75, 40)
(0, -2)
(0, -1)
(51, 0)
(79, 80)
(59, 120)
(84, 0)
(0, -2)
(0, -1)
(52, 80)
(73, 80)
(0, -2)
(0, -1)
(56, 0)
(73, 0)
(61, 80)
(65, 40)
(0, -2)
(0, -1)
(44, 80)
(75, 80)
(84, 80)
(92, 80)
(60, 40)
(64, 480)
(56, 140)
(80, 240)
(66, 480)
(67, 80)
(57, 40)
(64, 120)
(0, -2)
(0, -1)
(80, 80)
(67, 120)
(0, -2)
(66, 240)
(50, 40)
(61, 60)
(55, 16)
(0, -1)
(72, 0)
(71, 120)
(82, 109)
(0, -2)
(66, 150)
(0, -1)
(70, 60)
(65, 40)
(0, -2)
(0, -1)
(55, 80)
(53, 120)
(0, -2)
(0, -1)
(63, 80)
(72, 40)
(0, -2)
(0, -1)
(56, 40)
(73, 40)
(0, -2)
(0, -1)
(49, 120)
(50, 40)
(0, -2)
(0, -1)
(36, 0)
(56, 180)
(0, -2)
(0, -1)
(41, 0)
(77, 0)
(37, 0)
(77, 240)
(85, 240)
(0, -2)
(0, -1)
(75, 80)
(59, 120)
(0, -2)
(0, -1)
(71, 120)
(64, 120)
(0, -2)
(0, -1)
(71, 120)
(68, 240)
(0, -2)
(0, -1)
(71, 120)
(67, 120)
(0, -2)
(0, -1)
(71, 120)
(71, 120)
(0, -2)
(0, -1)
(71, 120)
(85, 240)
(0, -2)
(0, -1)
(71, 120)
(77, 80)
(0, -2)
(0, -1)
(71, 120)
(68, 120)
(64, 120)
(0, -2)
(0, -1)
(51, 0)
(87, 0)
(44, 41)
(75, 80)
(0, -2)
(0, -1)
(51, 0)
(72, 0)
(45, 49)
(75, 240)
(0, -2)
(0, -1)
(51, 80)
(72, 80)
(0, -2)
(0, -1)
(53, 0)
(75, 0)
(60, 0)
(39, 23)
(62, 0)
(80, 0)
(32, 0)
(70, 0)
(64, 180)
(61, 0)
(56, 80)
(70, 80)
(76, 0)
(73, 150)
(0, -1)
(75, 0)
(70, 0)
(84, 200)
(61, 0)
(43, 40)
(59, 240)
(78, 255)
(48, 40)
(72, 40)
(73, 960)
(0, -1)
(39, 20)
(69, 120)
(0, -2)
(0, -1)
(62, 120)
(68, 40)
(69, 120)
(0, -2)
(0, -1)
(71, 120)
(66, 120)
(49, 215)
(0, -2)
(0, -1)
(71, 120)
(71, 120)
(65, 120)
(0, -2)
(0, -1)
(58, 240)
(64, 120)
(0, -2)
(0, -1)
(44, 80)
(44, 24)
(0, -2)
(0, -1)
(71, 120)
(64, 120)
(0, -2)
(0, -1)
(71, 120)
(63, 120)
(0, -2)
(0, -1)
(53, 80)
(69, 120)
(0, -2)
(0, -1)
(71, 120)
(59, 120)
(0, -2)
(0, -1)
(68, 120)
(71, 120)
(0, -2)
(0, -1)
(71, 120)
(64, 360)
(0, -2)
(0, -1)
(71, 120)
(71, 240)
(0, -2)
(0, -1)
(71, 120)
(70, 40)
(0, -2)
(0, -1)
(71, 120)
(68, 120)
(0, -2)
(0, -1)
(71, 120)
(66, 120)
(0, -2)
(0, -1)
(71, 120)
(72, 120)
(0, -2)
(0, -1)
(71, 120)
(66, 120)
(0, -2)
(72, 40)
(0, -1)
(80, 240)
(66, 480)
(0, -2)
(0, -1)
(44, 0)
(63, 0)
(32, 80)
(68, 80)
(0, -2)
(0, -1)
(53, 80)
(70, 80)
(0, -2)
(0, -1)
(68, 320)
(78, 240)
(0, -2)
(0, -1)
(51, 40)
(73, 40)
(0, -2)
(0, -1)
(65, 0)
(80, 0)
(68, 0)
(48, 49)
(63, 80)
(0, -2)
(56, 180)
(54, 0)
(0, -1)
(44, 0)
(67, 40)
(75, 0)
(84, 0)
(79, 240)
(52, 0)
(67, 0)
(51, 80)
(72, 80)
(0, -2)
(0, -1)
(63, 0)
(51, 0)
(68, 0)
(56, 0)
(72, 0)
(60, 0)
(63, 0)
(56, 80)
(68, 80)
(84, 80)
(65, 120)
(70, 180)
(0, -1)
(84, 0)
(87, 0)
(53, 54)
(0, -2)
(51, 80)
(0, -1)
(71, 120)
(71, 240)
(68, 480)
(0, -2)
(0, -1)
(65, 120)
(69, 80)
(0, -2)
(0, -1)
(71, 120)
(64, 120)
(0, -2)
(0, -1)
(75, 120)
(67, 20)
(59, 120)
(63, 130)
(0, -2)
(60, 240)
(64, 0)
(60, 80)
(74, 354)
(0, -1)
(73, 0)
(44, 80)
(74, 34)
(0, -2)
(63, 180)
(69, 120)
(0, -1)
(80, 80)
(63, 80)
(80, 350)
(0, -2)
(0, -1)
(56, 80)
(68, 80)
(0, -2)
(0, -1)
(49, 120)
(44, 120)
(0, -2)
(0, -1)
(56, 0)
(72, 0)
(60, 80)
(63, 80)
(0, -2)
(0, -1)
(56, 80)
(68, 80)
(0, -2)
(0, -1)
(51, 0)
(70, 0)
(39, 38)
(79, 160)
(0, -2)
(0, -1)
(51, 0)
(73, 0)
(68, 40)
(79, 240)
(0, -2)
(0, -1)
(59, 240)
(73, 360)
(75, 80)
(0, -2)
(0, -1)
(71, 120)
(64, 180)
(0, -2)
(0, -1)
(71, 120)
(67, 120)
(0, -2)
(0, -1)
(71, 120)
(64, 240)
(0, -2)
(0, -1)
(71, 120)
(58, 120)
(61, 240)
(0, -2)
(0, -1)
(71, 120)
(71, 120)
(64, 1440)
(0, -2)
(0, -1)
(71, 180)
(71, 120)
(0, -2)
(0, -1)
(71, 120)
(64, 120)
(0, -2)
(0, -1)
(71, 120)
(68, 120)
(80, 118)
(0, -2)
(0, -1)
(71, 120)
(67, 120)
(0, -2)
(32, 1440)
(0, -1)
(51, 80)
(56, 120)
(0, -2)
(0, -1)
(37, 198)
(67, 120)
(60, 480)
(0, -2)
(0, -1)
(54, 240)
(82, 120)
(54, 720)
(0, -2)
(0, -1)
(51, 80)
(58, 120)
(60, 120)
(0, -2)
(0, -1)
(76, 289)
(37, 233)
(49, 240)
(0, -2)
(0, -1)
(68, 240)
(53, 240)
(49, 240)
(0, -2)
(0, -1)
(56, 0)
(61, 240)
(61, 80)
(54, 240)
(0, -2)
(0, -1)
(56, 0)
(68, 0)
(52, 0)
(67, 40)
(89, 289)
(0, -2)
(0, -1)
(68, 40)
(73, 40)
(0, -2)
(0, -1)
(63, 40)
(73, 40)
(0, -2)
(0, -1)
(54, 480)
(78, 0)
(0, -2)
(0, -1)
(32, 0)
(63, 0)
(56, 40)
(68, 40)
(0, -2)
(51, 40)
(50, 40)
(0, -1)
(68, 0)
(58, 80)
(67, 40)
(0, -2)
(0, -1)
(61, 0)
(63, 0)
(55, 16)
(68, 80)
(0, -2)
(0, -1)
(39, 0)
(68, 0)
(56, 0)
(71, 0)
(59, 0)
(64, 0)
(68, 0)
(61, 0)
(70, 0)
(56, 0)
(71, 0)
(51, 80)
(79, 80)
(0, -2)
(0, -1)
(75, 80)
(84, 0)
(0, -2)
(0, -1)
(80, 0)
(74, 0)
(45, 37)
(0, -2)
(0, -2)
(0, -1)
(75, 80)
(74, 80)
(0, -2)
(0, -1)
(51, 0)
(72, 0)
(44, 40)
(67, 0)
(0, -2)
(51, 40)
(0, -1)
(70, 0)
(41, 0)
(72, 0)
(41, 0)
(63, 40)
(72, 80)
(0, -2)
(0, -1)
(71, 120)
(63, 420)
(0, -2)
(70, 80)
(71, 120)
(0, -1)
(55, 80)
(73, 80)
(0, -2)
(0, -1)
(61, 80)
(77, 80)
(0, -2)
(0, -1)
(51, 40)
(73, 40)
(0, -2)
