iteration: 446500, loss: 4.084622
----
(73, 0)
(65, 240)
(77, 80)
(77, 160)
(0, -2)
(0, -1)
(67, 0)
(71, 120)
(59, 0)
(0, -2)
(0, -1)
(55, 80)
(72, 80)
(0, -2)
(0, -1)
(55, 40)
(78, 80)
(0, -2)
(0, -1)
(51, 40)
(73, 40)
(0, -2)
(0, -1)
(55, 0)
(57, 480)
(60, 80)
(63, 80)
(0, -2)
(0, -1)
(54, 0)
(52, 80)
(53, 0)
(73, 240)
(0, -2)
(0, -1)
(75, 0)
(71, 120)
(65, 480)
(78, 480)
(0, -2)
(0, -1)
(56, 80)
(68, 80)
(0, -2)
(0, -1)
(51, 0)
(73, 0)
(44, 40)
(84, 289)
(0, -2)
(0, -1)
(51, 0)
(73, 0)
(48, 40)
(39, 16)
(0, -2)
(0, -1)
(63, 40)
(72, 80)
(0, -2)
(0, -1)
(55, 0)
(73, 0)
(61, 80)
(82, 109)
(0, -2)
(0, -1)
(56, 80)
(72, 80)
(0, -2)
(0, -1)
(61, 80)
(77, 80)
(0, -2)
(0, -1)
(56, 80)
(70, 80)
(0, -2)
(0, -1)
(51, 40)
(73, 40)
(0, -2)
(0, -1)
(60, 0)
(65, 40)
(65, 20)
(0, -2)
(0, -1)
(58, 0)
(78, 960)
(63, 80)
(70, 80)
(0, -2)
(0, -1)
(56, 40)
(68, 40)
(0, -2)
(0, -1)
(56, 0)
(75, 0)
(60, 80)
(61, 80)
(0, -2)
(0, -1)
(56, 0)
(68, 0)
(52, 0)
(60, 40)
(63, 180)
(0, -2)
(0, -1)
(51, 80)
(70, 80)
(0, -2)
(0, -1)
(68, 240)
(68, 40)
(0, -2)
(0, -1)
(66, 120)
(65, 0)
(79, 440)
(75, 281)
(0, -2)
(0, -1)
(51, 40)
(68, 40)
(0, -2)
(0, -1)
(55, 80)
(73, 80)
(0, -2)
(0, -1)
(51, 40)
(68, 40)
(0, -2)
(0, -1)
(37, 34)
(63, 0)
(72, 0)
(80, 0)
(75, 80)
(47, 1200)
(0, -2)
(72, 80)
(53, 0)
(71, 0)
(51, 40)
(73, 40)
