iteration: 152500, loss: 3.023042
----
(0, -1)
(82, 480)
(60, 80)
(0, -2)
(0, -1)
(80, 0)
(68, 120)
(56, 0)
(61, 960)
(76, 240)
(0, -2)
(65, 175)
(80, 267)
(68, 120)
(65, 20)
(45, 34)
(73, 1440)
(53, 120)
(77, 240)
(0, -2)
(0, -1)
(55, 40)
(48, 0)
(58, 120)
(71, 40)
(0, -2)
(0, -1)
(66, 240)
(60, 80)
(0, -2)
(64, 480)
(70, 80)
(51, 0)
(60, 480)
(61, 480)
(61, 240)
(65, 120)
(0, -1)
(48, 40)
(77, 480)
(0, -2)
(51, 0)
(73, 120)
(71, 120)
(71, 40)
(0, -2)
(0, -1)
(61, 240)
(68, 120)
(68, 0)
(70, 80)
(64, 240)
(49, 120)
(0, -2)
(0, -1)
(51, 0)
(44, 0)
(66, 240)
(64, 120)
(0, -2)
(0, -1)
(69, 120)
(68, 0)
(64, 0)
(50, 0)
(72, 0)
(55, 16)
(58, 120)
(73, 0)
(68, 80)
(68, 80)
(48, 23)
(84, 80)
(71, 180)
(72, 0)
(68, 0)
(68, 80)
(56, 0)
(37, 20)
(77, 80)
(48, 80)
(0, -1)
(63, 80)
(44, 0)
(0, -2)
(0, -1)
(70, 120)
(61, 240)
(0, -2)
(63, 120)
(77, 248)
(72, 0)
(77, 80)
(53, 80)
(56, 40)
(0, -2)
(0, -1)
(72, 120)
(49, 240)
(0, -2)
(0, -1)
(49, 240)
(56, 120)
(0, -2)
(0, -1)
(60, 0)
(71, 120)
(0, -2)
(0, -1)
(49, 140)
(56, 40)
(0, -2)
(0, -1)
(51, 40)
(68, 80)
(71, 240)
(0, -2)
(60, 0)
(0, -1)
(52, 0)
(70, 80)
(57, 40)
(49, 240)
(0, -2)
(0, -1)
(70, 480)
(41, 0)
(0, -2)
(0, -1)
(80, 40)
(63, 80)
(68, 120)
(0, -2)
(0, -1)
(71, 240)
(44, 0)
(53, 0)
(54, 0)
(84, 80)
(68, 0)
(59, 130)
(73, 180)
(57, 0)
(0, -2)
(56, 40)
(0, -1)
(65, 80)
(80, 0)
(63, 130)
(48, 80)
(48, 0)
(53, 720)
(75, 206)
(0, -1)
(75, 80)
(70, 960)
(77, 240)
(0, -1)
(51, 80)
(56, 40)
(0, -2)
(0, -2)
(61, 240)
(56, 120)
(0, -1)
(55, 240)
(39, 16)
(72, 0)
(63, 80)
(55, 80)
(0, -2)
(0, -1)
(58, 120)
(63, 80)
(77, 0)
(47, 240)
(80, 285)
(60, 0)
(58, 480)
(66, 60)
(0, -2)
(0, -1)
(46, 0)
(68, 120)
(92, 240)
(0, -2)
(56, 0)
(0, -2)
(0, -1)
(56, 120)
(56, 1440)
(0, -2)
(0, -1)
(44, 240)
(58, 0)
(58, 120)
(63, 80)
(51, 0)
(68, 0)
(0, -1)
(63, 0)
(77, 80)
